"";"cod_ente";"anno";"codice_gestionale";"imp_uscite_att";"data_inc_siope";"data_esc_siope";"cod_fiscale";"descr_ente";"cod_comune";"cod_provincia";"num_abitanti";"sottocomparto_siope";"imp_per_cap"
"146";29256313;2014;2601;2537,6;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";422,93
"147";34036;2014;2701;23875;"2007-01-01";"9999-12-31";194880258;"COMUNE DI PONTE NELLE ALPI";40;25;8382;"COMUNE";2,85
"148";29256313;2014;2721;850;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";141,67
"149";29256295;2014;2722;36898,75;"2014-02-19";"9999-12-31";1151950258;"COMUNE DI QUERO VAS";999;25;3338;"COMUNE";11,05
"150";11117480;2014;2731;8319,01;"2007-01-01";"9999-12-31";208500256;"COMUNE DI COLLE SANTA LUCIA";14;25;388;"COMUNE";21,44
"151";11318;2014;2751;30000;"2007-01-02";"9999-12-31";103340253;"COMUNE DI AGORDO";1;25;4225;"COMUNE";7,1
"152";25917;2014;2752;110155,47;"2007-01-01";"9999-12-31";164110256;"COMUNE DI SOSPIROLO";56;25;3223;"COMUNE";34,18
"153";11117195;2014;2769;20000;"2007-01-01";"9999-12-31";185930252;"COMUNE DI SEREN DEL GRAPPA";55;25;2552;"COMUNE";7,84
"154";11142129;2014;2782;68000;"2007-01-01";"9999-12-31";83000710257;"COMUNE DI AURONZO DI CADORE";5;25;3416;"COMUNE";19,91
"155";723669;2014;2791;30848,58;"2007-01-01";"9999-12-31";83001030259;"COMUNE DI COMELICO SUPERIORE";15;25;2287;"COMUNE";13,49
"156";29256313;2014;2792;8000;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";1333,33
"157";36659;2014;2799;85000;"2007-01-01";"9999-12-31";205920259;"COMUNE DI FORNO DI ZOLDO";24;25;2417;"COMUNE";35,17
"158";11142129;2014;2802;6743,21;"2007-01-01";"9999-12-31";83000710257;"COMUNE DI AURONZO DI CADORE";5;25;3416;"COMUNE";1,97
"159";15887356;2014;3101;948598,8;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";1838,37
"160";723669;2014;3201;14000;"2007-01-01";"9999-12-31";83001030259;"COMUNE DI COMELICO SUPERIORE";15;25;2287;"COMUNE";6,12
"161";29256313;2014;3301;15100;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";2516,67
"162";29256313;2014;3302;59929,55;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";9988,26
"163";31822;2014;3311;279213,4;"2007-01-01";"9999-12-31";185970258;"COMUNE DI LOZZO DI CADORE";33;25;1485;"COMUNE";188,02
"164";29256313;2014;3324;66600;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";11100
"165";17976;2014;3325;19487,88;"2006-01-01";"9999-12-31";132550252;"COMUNE DI BELLUNO";6;25;35545;"COMUNE";0,55
"166";29256313;2014;4101;144570,8;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";24095,13
"167";29256313;2014;4201;241141,68;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";40190,28
"168";29256313;2014;4301;27148,75;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";4524,79
"169";29256313;2014;4401;969,24;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";161,54
"170";34666;2014;4502;15619,42;"2007-01-01";"9999-12-31";197180250;"COMUNE DI SAN NICOLO' DI COMELICO";46;25;407;"COMUNE";38,38
"171";29256313;2014;4503;5181,04;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";863,51
"172";29256313;2014;4601;5700;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";950
"173";29256313;2014;4701;1225;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";204,17
"174";33832;2014;9998;907739,37;"2007-01-01";"9999-12-31";194080255;"COMUNE DI CALALZO DI CADORE";8;25;2131;"COMUNE";425,97
"175";28467;2014;9999;1229344,68;"2007-01-02";"9999-12-31";173090259;"COMUNE DI CANALE D'AGORDO";23;25;1156;"COMUNE";1063,45
